access,area,bridge,distance,from,hgv,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel
,,,68.537994,80215313,,residential,,,,South Sweetbriar Drive,,,,80215317,
,,,68.537994,80215317,,residential,,,,South Sweetbriar Drive,,,,80215313,
,,,100.432186,80215317,,residential,,,,South Sweetbriar Drive,,,,80215322,
,,,100.432186,80215322,,residential,,,,South Sweetbriar Drive,,,,80215317,
,,,111.086166,80215322,,residential,,,,South Sweetbriar Drive,,,,80215330,
,,,111.086166,80215330,,residential,,,,South Sweetbriar Drive,,,,80215322,
,,,246.679053,80215330,,residential,,,,South Sweetbriar Drive,,,,80215343,
,,,246.679053,80215343,,residential,,,,South Sweetbriar Drive,,,,80215330,
,,,55.273487,80215343,,residential,,,,South Sweetbriar Drive,,,,80215349,
,,,55.273487,80215349,,residential,,,,South Sweetbriar Drive,,,,80215343,
,,,122.854967,1028818489,,residential,,,,South Marion Street,,,,80215368,
,,,122.854967,80215368,,residential,,,,South Marion Street,,,,1028818489,
,,,192.547596,80215368,,residential,,,,South Marion Street,,,,80215375,
,,,192.547596,80215375,,residential,,,,South Marion Street,,,,80215368,
,,,55.77211,80215375,,residential,,,,South Marion Street,,,,80215377,
,,,55.77211,80215377,,residential,,,,South Marion Street,,,,80215375,
,,,87.92146,80215377,,residential,,,,South Marion Street,,,,80215379,
,,,87.92146,80215379,,residential,,,,South Marion Street,,,,80215377,
,,,98.372979,80215379,,residential,,,,South Marion Street,,,,80215383,
,,,98.372979,80215383,,residential,,,,South Marion Street,,,,80215379,
,,,117.55064,80215383,,residential,,,,South Marion Street,,,,80215390,
,,,117.55064,80215390,,residential,,,,South Marion Street,,,,80215383,
,,,297.746299,80215459,,residential,,,,South Aaron Avenue,,,,80215475,
,,,297.746299,80215475,,residential,,,,South Aaron Avenue,,,,80215459,
,,,310.260109,80215475,,residential,,,,South Aaron Avenue,,,,80215488,
,,,310.260109,80215488,,residential,,,,South Aaron Avenue,,,,80215475,
,,,801.745762,80215546,,residential,,,,Sycamore Avenue,no,,,2459022417,
,,,801.745762,2459022417,,residential,,,,Sycamore Avenue,no,,,80215546,
,,,97.009551,80215580,,residential,,,,East Northstar Lane,no,,,80215582,
,,,97.009551,80215582,,residential,,,,East Northstar Lane,no,,,80215580,
,,,109.428718,80215582,,residential,,,,East Northstar Lane,no,,,80215584,
,,,109.428718,80215584,,residential,,,,East Northstar Lane,no,,,80215582,
,,,67.179789,80215584,,residential,,,,East Northstar Lane,no,,,80215586,
,,,67.179789,80215586,,residential,,,,East Northstar Lane,no,,,80215584,
,,,57.080552,80215586,,residential,,,,East Northstar Lane,no,,,80215587,
,,,57.080552,80215587,,residential,,,,East Northstar Lane,no,,,80215586,
,,,191.48475,80215930,,residential,,,,West Bittersweet Lane,,,,80215943,
,,,191.48475,80215943,,residential,,,,West Bittersweet Lane,,,,80215930,
,,,56.274933,80215943,,residential,,,,West Bittersweet Lane,,,,80215949,
,,,56.274933,80215949,,residential,,,,West Bittersweet Lane,,,,80215943,
,,,119.433836,80215949,,residential,,,,West Bittersweet Lane,,,,80215953,
,,,119.433836,80215953,,residential,,,,West Bittersweet Lane,,,,80215949,
,,,212.986697,80216004,,residential,,,,West 68th Street,,,,80216006,
,,,212.986697,80216006,,residential,,,,West 68th Street,,,,80216004,
,,,104.373284,80216010,,residential,,,,South Lois Lane,,,,80216012,
,,,104.373284,80216012,,residential,,,,South Lois Lane,,,,80216010,
,,,230.212538,80216012,,residential,,,,South Lois Lane,,,,5096421693,
,,,230.212538,5096421693,,residential,,,,South Lois Lane,,,,80216012,
,,,23.685422,5096421693,,residential,,,,South Lois Lane,,,,80216037,
,,,23.685422,80216037,,residential,,,,South Lois Lane,,,,5096421693,
,,,35.109805,80217262,,residential,,,,Rambler Place,no,,,80217264,
,,,35.109805,80217264,,residential,,,,Rambler Place,no,,,80217262,
,,,35.109805,80217264,,residential,,,,Rambler Place,no,,,80217262,
,,,35.109805,80217262,,residential,,,,Rambler Place,no,,,80217264,
private,,,45.936727,80219072,,service,,,,,no,,driveway,80219087,
private,,,45.936727,80219087,,service,,,,,no,,driveway,80219072,
,,,28.70119,80221663,,service,,,,,,,driveway,80221665,
,,,28.70119,80221665,,service,,,,,,,driveway,80221663,
,,,71.87372,80221665,,service,,,,,,,driveway,80221667,
,,,71.87372,80221667,,service,,,,,,,driveway,80221665,
,,,16.098747,80221667,,service,,,,,,,driveway,4320385263,
,,,16.098747,4320385263,,service,,,,,,,driveway,80221667,
,,,6.676307,4320385263,,service,,,,,,,driveway,4320385272,
,,,6.676307,4320385272,,service,,,,,,,driveway,4320385263,
,,,15.481392,4320385272,,service,,,,,,,driveway,4320385262,
,,,15.481392,4320385262,,service,,,,,,,driveway,4320385272,
,,,18.292383,4320385262,,service,,,,,,,driveway,4320385259,
,,,18.292383,4320385259,,service,,,,,,,driveway,4320385262,
,,,58.686484,4320385259,,service,,,,,,,driveway,80221673,
,,,58.686484,80221673,,service,,,,,,,driveway,4320385259,
,,,26.498817,80221673,,service,,,,,,,driveway,4320385260,
,,,26.498817,4320385260,,service,,,,,,,driveway,80221673,
,,,20.413847,4320385260,,service,,,,,,,driveway,4320385261,
,,,20.413847,4320385261,,service,,,,,,,driveway,4320385260,
,,,9.244455,4320385261,,service,,,,,,,driveway,4320385265,
,,,9.244455,4320385265,,service,,,,,,,driveway,4320385261,
,,,15.352127,4320385265,,service,,,,,,,driveway,80221663,
,,,15.352127,80221663,,service,,,,,,,driveway,4320385265,
private,,,11.263097,80221678,,service,,,,,,,driveway,80221680,
private,,,11.263097,80221680,,service,,,,,,,driveway,80221678,
private,,,11.263097,80221680,,service,,,,,,,driveway,80221678,
private,,,11.263097,80221678,,service,,,,,,,driveway,80221680,
private,,,6.933628,80221784,,service,,,,,,,driveway,80221786,
private,,,6.933628,80221786,,service,,,,,,,driveway,80221784,
private,,,6.933628,80221786,,service,,,,,,,driveway,80221784,
private,,,6.933628,80221784,,service,,,,,,,driveway,80221786,
,,,324.844051,80224699,,residential,,,,South Birchwood Avenue,,,,80224716,
,,,324.844051,80224716,,residential,,,,South Birchwood Avenue,,,,80224699,
,,,71.918512,80226842,,residential,,,,,,,,80226853,
,,,71.918512,80226853,,residential,,,,,,,,80226842,
,,,27.539887,80230155,,service,,,,,,,driveway,80230157,
,,,27.539887,80230157,,service,,,,,,,driveway,80230155,
,,,89.690753,80230157,,service,,,,,,,driveway,80230171,
,,,89.690753,80230171,,service,,,,,,,driveway,80230157,
,,,120.949622,80230178,,service,,,,,,,,80230199,
,,,120.949622,80230199,,service,,,,,,,,80230178,
,,,14.50064,1375180867,,service,,,,,,,driveway,80230284,
,,,14.50064,80230284,,service,,,,,,,driveway,1375180867,
,,,17.272552,80230284,,service,,,,,,,driveway,80221665,
,,,17.272552,80221665,,service,,,,,,,driveway,80230284,
,,,41.038295,80230322,,residential,,,,South Augusta Avenue,,,,80230199,
,,,41.038295,80230199,,residential,,,,South Augusta Avenue,,,,80230322,
,,,77.435904,80230199,,residential,,,,South Augusta Avenue,,,,80230329,
,,,77.435904,80230329,,residential,,,,South Augusta Avenue,,,,80230199,
,,,13.314666,80230329,,residential,,,,South Augusta Avenue,,,,1375180870,
,,,13.314666,1375180870,,residential,,,,South Augusta Avenue,,,,80230329,
,,,155.781473,80803053,,residential,,,,South Emery Avenue,,,,80230529,
,,,155.781473,80230529,,residential,,,,South Emery Avenue,,,,80803053,
,,,144.092787,80239311,,residential,,,,South Pinehurst Court,,,,80230798,
,,,144.092787,80230798,,residential,,,,South Pinehurst Court,,,,80239311,
,,,272.096831,80283291,,residential,,,,West LaQuinta Circle,,,,1351495876,
,,,272.096831,1351495876,,residential,,,,West LaQuinta Circle,,,,80283291,
,,,7.528697,1351495876,,residential,,,,West LaQuinta Circle,,,,80283246,
,,,7.528697,80283246,,residential,,,,West LaQuinta Circle,,,,1351495876,
,,,40.071899,80283246,,residential,,,,West LaQuinta Circle,,,,2462411165,
,,,40.071899,2462411165,,residential,,,,West LaQuinta Circle,,,,80283246,
,,,15.421856,2462411165,,residential,,,,West LaQuinta Circle,,,,80230929,
,,,15.421856,80230929,,residential,,,,West LaQuinta Circle,,,,2462411165,
,,,14.327144,80231540,,service,,,,,no,,driveway,1375180866,
,,,14.327144,1375180866,,service,,,,,no,,driveway,80231540,
private,,,26.320993,80221680,,service,,,,,no,,driveway,80231553,
private,,,26.320993,80231553,,service,,,,,no,,driveway,80221680,
private,,,33.336358,80231715,,service,,,,,no,,driveway,80231737,
private,,,33.336358,80231737,,service,,,,,no,,driveway,80231715,
private,,,71.720966,80231800,,service,,,,,no,,driveway,80231816,
private,,,71.720966,80231816,,service,,,,,no,,driveway,80231800,
private,,,28.49534,80231820,,service,,,,,,,,80231835,
private,,,28.49534,80231835,,service,,,,,,,,80231820,
private,,,19.421614,80231882,,service,,,,,,,,80231906,
private,,,19.421614,80231906,,service,,,,,,,,80231882,
,,,234.771594,80232181,,residential,,,,South Jersey Tess Drive,,,,80232220,
,,,234.771594,80232220,,residential,,,,South Jersey Tess Drive,,,,80232181,
,,,94.639642,80232808,,residential,,,,South Valencia Drive,no,,,80232819,
,,,94.639642,80232819,,residential,,,,South Valencia Drive,no,,,80232808,
,,,185.582395,80232819,,residential,,,,South Valencia Drive,no,,,80232844,
,,,185.582395,80232844,,residential,,,,South Valencia Drive,no,,,80232819,
,,,162.704365,80233053,,residential,,,,West 84th Place,no,,,80233055,
,,,162.704365,80233055,,residential,,,,West 84th Place,no,,,80233053,
,,,239.784029,80233089,,residential,,,,,,,,80233102,
,,,239.784029,80233102,,residential,,,,,,,,80233089,
,,,126.345281,80233140,,residential,,,,South Pinnacle Place,,,,1351702572,
,,,126.345281,1351702572,,residential,,,,South Pinnacle Place,,,,80233140,
,,,252.926004,80233151,,residential,,,,South Lynncrest Avenue,no,,,80233169,
,,,252.926004,80233169,,residential,,,,South Lynncrest Avenue,no,,,80233151,
,,,16.848651,80233169,,residential,,,,South Lynncrest Avenue,no,,,80233171,
,,,16.848651,80233171,,residential,,,,South Lynncrest Avenue,no,,,80233169,
,,,58.382675,80233171,,residential,,,,South Lynncrest Avenue,no,,,80233173,
,,,58.382675,80233173,,residential,,,,South Lynncrest Avenue,no,,,80233171,
,,,82.835261,80233173,,residential,,,,South Lynncrest Avenue,no,,,80230902,
,,,82.835261,80230902,,residential,,,,South Lynncrest Avenue,no,,,80233173,
,,,235.905264,80230902,,residential,,,,South Lynncrest Avenue,no,,,80233196,
,,,235.905264,80233196,,residential,,,,South Lynncrest Avenue,no,,,80230902,
,,,159.969201,80233196,,residential,,,,South Lynncrest Avenue,no,,,1351495811,
,,,159.969201,1351495811,,residential,,,,South Lynncrest Avenue,no,,,80233196,
,,,133.939284,1351495811,,residential,,,,South Lynncrest Avenue,no,,,1351495795,
,,,133.939284,1351495795,,residential,,,,South Lynncrest Avenue,no,,,1351495811,
,,,140.889456,80233212,,residential,,,,South Avalon Avenue,,,,80233220,
,,,140.889456,80233220,,residential,,,,South Avalon Avenue,,,,80233212,
,,,184.386236,80233220,,residential,,,,South Avalon Avenue,,,,80233222,
,,,184.386236,80233222,,residential,,,,South Avalon Avenue,,,,80233220,
,,,133.847172,80233222,,residential,,,,South Avalon Avenue,,,,80233225,
,,,133.847172,80233225,,residential,,,,South Avalon Avenue,,,,80233222,
,,,66.689105,80233225,,residential,,,,South Avalon Avenue,,,,80230889,
,,,66.689105,80230889,,residential,,,,South Avalon Avenue,,,,80233225,
,,,74.75339,80233171,,service,,,,,,,,80233590,
,,,74.75339,80233590,,service,,,,,,,,80233171,
,,,333.792869,2013909126,,residential,,,,West Sleigh Creek Circle,,,,80233619,
,,,333.792869,80233619,,residential,,,,West Sleigh Creek Circle,,,,2013909126,
,,,235.835484,80233663,,residential,,,,South Wicklow Street,no,,,80233687,
,,,235.835484,80233687,,residential,,,,South Wicklow Street,no,,,80233663,
,,,242.696095,80233687,,residential,,,,South Wicklow Street,no,,,80233638,
,,,242.696095,80233638,,residential,,,,South Wicklow Street,no,,,80233687,
,,,255.890534,80233697,,residential,,,,West Murphy Drive,no,,,80233725,
,,,255.890534,80233725,,residential,,,,West Murphy Drive,no,,,80233697,
private,,,46.158896,80234037,,service,,,,,no,,driveway,80234061,
private,,,46.158896,80234061,,service,,,,,no,,driveway,80234037,
private,,,52.388126,80234201,,service,,,,,,,,80234229,
private,,,52.388126,80234229,,service,,,,,,,,80234201,
,,,53.079849,80234430,,service,,,,,yes,,driveway,80234428,
,,,53.079849,80234428,,service,,,,,yes,,driveway,80234430,
,,,328.249518,80232289,,residential,,,,South Josh Wyatt Drive,,,,80234551,
,,,328.249518,80234551,,residential,,,,South Josh Wyatt Drive,,,,80232289,
,,,93.0152,5082761294,,residential,,,,West Surreyhill CIrcle,no,,,80234660,
,,,93.0152,80234660,,residential,,,,West Surreyhill CIrcle,no,,,5082761294,
,,,64.14743,80234692,,residential,,,,South Deer Park Drive,,,,80234694,
,,,64.14743,80234694,,residential,,,,South Deer Park Drive,,,,80234692,
,,,101.12332,80234694,,residential,,,,South Deer Park Drive,,,,80234703,
,,,101.12332,80234703,,residential,,,,South Deer Park Drive,,,,80234694,
,,,230.307067,80234703,,residential,,,,South Deer Park Drive,,,,80234721,
,,,230.307067,80234721,,residential,,,,South Deer Park Drive,,,,80234703,
,,,230.307067,80234721,,residential,,,,South Copperhead Drive,,,,80234703,
,,,230.307067,80234703,,residential,,,,South Copperhead Drive,,,,80234721,
private,,,208.653239,80235180,,residential,,,,South Grand Lodge Place,,,,1562707122,
private,,,208.653239,1562707122,,residential,,,,South Grand Lodge Place,,,,80235180,
,,,127.543576,80235209,,residential,,,,South Bellwood Avenue,no,,,80235212,
,,,127.543576,80235212,,residential,,,,South Bellwood Avenue,no,,,80235209,
,,,69.131414,80235212,,residential,,,,South Bellwood Avenue,no,,,80230897,
,,,69.131414,80230897,,residential,,,,South Bellwood Avenue,no,,,80235212,
,,,157.068916,80235226,,residential,,,,South Avalon Circle,no,,,80235212,
,,,157.068916,80235212,,residential,,,,South Avalon Circle,no,,,80235226,
private,,,93.568512,80235243,,service,,,,,,,,80235245,
private,,,93.568512,80235245,,service,,,,,,,,80235243,
,,,89.357991,80232222,,residential,,,,West Brook Haven Place,,,,80232247,
,,,89.357991,80232247,,residential,,,,West Brook Haven Place,,,,80232222,
private,,,19.620723,80235498,,service,,,,,,,driveway,80235500,
