x,y,id
-96.7111474,43.4964019,80214774
-96.7111553,43.4956214,80214778
-96.7111606,43.4948582,80214780
-96.7353652,43.5003409,80215313
-96.7353079,43.4997261,80215317
-96.7347726,43.4989109,80215322
-96.7337656,43.4982298,80215330
-96.7310107,43.497268,80215343
-96.7303978,43.497046,80215349
-96.7908578,43.4991728,80215368
-96.7917271,43.4975606,80215375
-96.7920143,43.4971045,80215377
-96.7924701,43.4963865,80215379
-96.7930111,43.4955939,80215383
-96.79383,43.4947198,80215390
-96.8105676,43.4959609,80215459
-96.8107678,43.4932879,80215475
-96.8096852,43.4906113,80215488
-96.652839,43.480981,80215537
-96.6687427,43.4749195,80215546
-96.6687778,43.482395,80215548
-96.668813,43.485319,80215550
-96.6688151,43.4894654,80215552
-96.668823,43.490702,80215554
-96.6688395,43.4958371,80215560
-96.6688219,43.5004023,80215573
-96.7077388,43.4926295,80215580
-96.7065366,43.4926222,80215582
-96.7051805,43.4926135,80215584
-96.704348,43.4926062,80215586
-96.7036406,43.4926055,80215587
-96.7033165,43.4925523,80215588
-96.7418066,43.4945552,80215930
-96.741382,43.496249,80215943
-96.74075,43.496463,80215949
-96.739373,43.496857,80215953
-96.8118985,43.4915412,80216004
-96.814538,43.491544,80216006
-96.760615,43.492743,80216010
-96.7614918,43.4920531,80216012
-96.7595701,43.4903453,80216037
-96.725704,43.496092,80216041
-96.766377,43.47671,80217262
-96.765942,43.476711,80217264
-96.707694,43.483865,80219072
-96.707696,43.483452,80219087
-96.7211999,43.4898132,80221663
-96.7208457,43.4897897,80221665
-96.720068,43.4901047,80221667
-96.721183,43.490456,80221673
-96.707285,43.482534,80221678
-96.707374,43.482612,80221680
-96.660974,43.499924,80221784
-96.661032,43.49997,80221786
-96.787184,43.46832,80224559
-96.6988986,43.4972463,80224699
-96.6993307,43.4943426,80224716
-96.7572132,43.496874,80226842
-96.757363,43.4975114,80226853
-96.7700494,43.4967196,80227378
-96.7473153,43.4789204,80229657
-96.826496,43.498531,80229754
-96.826475,43.497824,80229804
-96.7473239,43.4736529,80230105
-96.7101713,43.4895749,80230155
-96.7101698,43.4898225,80230157
-96.7106595,43.4905464,80230171
-96.724252,43.490226,80230178
-96.7257426,43.4903401,80230199
-96.7113274,43.4898377,80230222
-96.7134836,43.4898562,80230232
-96.7275193,43.477646,80230266
-96.7208609,43.4896348,80230284
-96.727506,43.4782084,80230317
-96.725619,43.490698,80230322
-96.7257405,43.4896439,80230329
-96.826373,43.493755,80230485
-96.81435,43.498913,80230529
-96.7235424,43.4896406,80230774
-96.7235344,43.4889214,80230776
-96.72361,43.488186,80230781
-96.722567,43.4863416,80230798
-96.7328195,43.4847789,80230884
-96.7315794,43.4851263,80230889
-96.7303285,43.4855313,80230897
-96.730165,43.485616,80230899
-96.7295088,43.4858939,80230902
-96.7283075,43.4861772,80230924
-96.7275957,43.4862043,80230929
-96.707701,43.478718,80231102
-96.7177123,43.4896171,80231540
-96.7077,43.482605,80231553
-96.707692,43.47629,80231573
-96.7098323,43.4750273,80231594
-96.784707,43.475409,80231715
-96.784294,43.475406,80231737
-96.785799,43.475413,80231799
-96.787169,43.475901,80231800
-96.786585,43.475415,80231816
-96.787994,43.475425,80231820
-96.788347,43.475429,80231835
-96.7753935,43.4753302,80231857
-96.7748828,43.4753205,80231862
-96.6877877,43.4755865,80231882
-96.6877907,43.4754119,80231906
-96.6694744,43.4894658,80231924
-96.6547442,43.489454,80231953
-96.652874,43.476189,80232009
-96.6511284,43.4749487,80232014
-96.6554152,43.4749343,80232029
-96.749547,43.492302,80232181
-96.7508933,43.4941732,80232220
-96.7509356,43.4945973,80232222
-96.749866,43.49548,80232242
-96.7498282,43.4945895,80232247
-96.7496157,43.494155,80232255
-96.7513275,43.4912803,80232289
-96.7518405,43.4896237,80232320
-96.7516909,43.4876343,80232333
-96.7513038,43.486554,80232347
-96.7597366,43.4819775,80232418
-96.7618407,43.4820082,80232426
-96.7657387,43.480257,80232488
-96.7565422,43.4771425,80232723
-96.7565471,43.4780452,80232730
-96.7565727,43.4800472,80232740
-96.7606045,43.4805711,80232758
-96.7579815,43.4780378,80232801
-96.7614316,43.479909,80232808
-96.760772,43.4792055,80232819
-96.7591305,43.4780371,80232844
-96.7693177,43.4763225,80233053
-96.7673027,43.4762799,80233055
-96.7659806,43.4763527,80233066
-96.7657088,43.4753067,80233082
-96.7329558,43.4895746,80233089
-96.7300032,43.4898174,80233102
-96.746446,43.4895931,80233135
-96.7489145,43.4895984,80233140
-96.7300029,43.4895639,80233151
-96.729548,43.487314,80233169
-96.7295582,43.4871627,80233171
-96.7295577,43.4866378,80233173
-96.7294741,43.4837731,80233196
-96.7337957,43.4895711,80233212
-96.7332428,43.4883696,80233220
-96.7324516,43.4868144,80233222
-96.7318556,43.4856914,80233225
-96.730478,43.487083,80233590
-96.7482025,43.4860133,80233619
-96.7473142,43.4860165,80233623
-96.7457663,43.4857488,80233633
-96.7450833,43.4860016,80233638
-96.7439056,43.4859989,80233644
-96.7426705,43.4861345,80233654
-96.7424182,43.4890448,80233663
-96.7450888,43.4881836,80233687
-96.7424308,43.4874012,80233697
-96.7404981,43.4855773,80233725
-96.7423416,43.4851238,80233741
-96.745448,43.4851307,80233753
-96.7462777,43.4850899,80233760
-96.8300342,43.490052,80233952
-96.826311,43.489621,80234037
-96.826311,43.489206,80234061
-96.822227,43.490061,80234066
-96.8296316,43.4900496,80234093
-96.806308,43.47921,80234195
-96.806314,43.478204,80234201
-96.806317,43.477733,80234229
-96.806317,43.477793,80234232
-96.806322,43.476582,80234279
-96.806323,43.4764,80234284
-96.72749,43.468114,80234352
-96.727494,43.465854,80234374
-96.7814845,43.4899075,80234428
-96.7814695,43.4903846,80234430
-96.7872029,43.4899444,80234455
-96.7521549,43.4941698,80234551
-96.7540309,43.4941924,80234612
-96.7699453,43.4888448,80234618
-96.7712724,43.4856162,80234639
-96.7397722,43.4895835,80234660
-96.7397986,43.4901973,80234662
-96.7404415,43.4922218,80234683
-96.7414672,43.4895848,80234692
-96.7414592,43.4901615,80234694
-96.7416515,43.4910599,80234703
-96.7432784,43.4927612,80234721
-96.7435017,43.4903558,80234751
-96.7935121,43.4675122,80235132
-96.7919677,43.4675056,80235134
-96.7896546,43.4675079,80235142
-96.787184,43.467656,80235162
-96.7541978,43.4899313,80235180
-96.7606115,43.4770677,80235207
-96.730158,43.4837749,80235209
-96.7301621,43.4849216,80235212
-96.7308889,43.4836116,80235226
-96.668703,43.465764,80235243
-96.669862,43.465774,80235245
-96.784845,43.477972,80235498
-96.784966,43.477819,80235500
-96.7848105,43.4981427,80235528
-96.7845852,43.4982381,80235530
-96.7846737,43.4971718,80235533
-96.7852772,43.4979443,80235535
-96.7854891,43.4978626,80235537
-96.7856903,43.4981136,80235539
-96.826274,43.470008,80235759
-96.827068,43.470033,80235761
-96.826272,43.469678,80235765
-96.8262962,43.4666885,80235841
-96.8263011,43.4656603,80235858
-96.791989,43.465818,80236558
-96.791987,43.465147,80236560
-96.787184,43.466282,80236780
-96.7579689,43.4771464,80236959
-96.7591153,43.4771516,80236963
-96.761052,43.4767558,80236973
-96.7618364,43.4760959,80236978
-96.7356971,43.4863857,80237041
-96.7336869,43.4864589,80237051
-96.7320464,43.4867677,80237061
-96.7315401,43.4857671,80237065
-96.7304975,43.4863765,80237105
-96.7319203,43.4830279,80237116
-96.732339,43.4838487,80237118
-96.7332669,43.4855882,80237120
-96.7357099,43.4872992,80237139
-96.7368805,43.4873061,80237143
-96.7920763,43.497685,80237299
-96.792738,43.497804,80237307
-96.7913629,43.4991754,80237336
-96.791389,43.4987996,80237360
-96.784687,43.4986,80237401
-96.7847309,43.4987476,80237403
-96.7649201,43.4956328,80237467
-96.7652272,43.4953035,80237470
-96.763436,43.494119,80237477
-96.7474488,43.494125,80237504
-96.7484693,43.4941288,80237506
-96.7560746,43.4942192,80237513
-96.7567401,43.4942237,80237517
-96.7574773,43.4942892,80237525
-96.7813151,43.4903824,80238577
-96.7792691,43.4903647,80238579
-96.7567932,43.4995351,80238636
-96.7562392,43.4997568,80238640
-96.7550722,43.4999264,80238648
-96.7539484,43.4999342,80238656
-96.765524,43.4953949,80238676
-96.7305989,43.4992559,80238921
-96.729667,43.499725,80238928
-96.7019106,43.494354,80239039
-96.7005227,43.4943457,80239044
-96.698292,43.494339,80239047
-96.6977509,43.4972235,80239129
-96.701781,43.49482,80239182
-96.722085,43.487589,80239311
-96.7224205,43.4889206,80239323
-96.7224051,43.4896372,80239324
-96.7223991,43.4898781,80239326
-96.7214721,43.4898727,80239328
-96.721472,43.4900658,80239330
-96.7221104,43.4900698,80239331
-96.7225531,43.4905887,80239336
-96.7229622,43.4904367,80239344
-96.7236139,43.4904363,80239347
-96.7772054,43.4785454,80240030
-96.7741978,43.4785337,80240032
-96.7724528,43.4783784,80240043
-96.7714067,43.4780684,80240047
-96.7703854,43.4777198,80240057
-96.771675,43.4752983,80240144
-96.7711625,43.4785034,80240157
-96.7710756,43.4788309,80240164
-96.7623824,43.478032,80240594
-96.764263,43.4783012,80240611
-96.7646643,43.4795203,80240630
-96.7739386,43.4856329,80241217
-96.7739093,43.4898385,80241220
-96.7368828,43.4846349,80241323
-96.7113024,43.4888893,80241887
-96.7127331,43.4889079,80241889
-96.7308195,43.4995939,80245572
