fare_id,price,currency_type,payment_method,transfers,transfer_duration
176628,19.00,USD,1,0,
176629,16.00,USD,1,0,
176630,12.00,USD,1,0,
176631,24.00,USD,1,0,
176632,18.00,USD,1,0,
176633,13.00,USD,1,0,
176634,26.00,USD,1,0,
176635,20.00,USD,1,0,
176636,16.00,USD,1,0,
176637,29.00,USD,1,0,
176638,18.00,USD,1,0,
176639,24.00,USD,1,0,
176640,19.00,USD,1,0,
176641,31.00,USD,1,0,
176642,27.00,USD,1,0,
176643,19.00,USD,1,0,
176644,19.00,USD,1,0,
176645,24.00,USD,1,0,
176646,14.00,USD,1,0,
176647,16.00,USD,1,0,
176648,13.00,USD,1,0,
176649,18.00,USD,1,0,
176650,20.00,USD,1,0,
176651,24.00,USD,1,0,
176652,27.00,USD,1,0,
176653,12.00,USD,1,0,
176654,13.00,USD,1,0,
176655,16.00,USD,1,0,
176656,19.00,USD,1,0,
176657,13.00,USD,1,0,
176658,7.00,USD,1,0,
176659,9.00,USD,1,0,
176660,12.00,USD,1,0,
176661,14.00,USD,1,0,
176662,7.50,USD,1,0,
176663,10.00,USD,1,0,
176664,16.00,USD,1,0,
176665,9.00,USD,1,0,
176666,12.00,USD,1,0,
176667,14.00,USD,1,0,
176668,13.00,USD,1,0,
176669,12.00,USD,1,0,
176670,15.00,USD,1,0,
176671,18.00,USD,1,0,
176672,19.00,USD,1,0,
176673,17.00,USD,1,0,
176674,16.00,USD,1,0,
176675,10.00,USD,1,0,
176676,13.00,USD,1,0,
176677,15.00,USD,1,0,
176678,10.00,USD,1,0,
176679,12.00,USD,1,0,
176680,10.00,USD,1,0,
176681,15.00,USD,1,0,
176682,12.00,USD,1,0,
176683,6.00,USD,1,0,
176684,14.00,USD,1,0,
176685,31.00,USD,1,0,
176686,20.00,USD,1,0,
176687,19.00,USD,1,0,
176688,6.00,USD,1,0,
176689,6.00,USD,1,0,
176690,25.00,USD,1,0,
176691,25.00,USD,1,0,
176692,8.50,USD,1,0,
176693,9.00,USD,1,0,
176694,19.00,USD,1,0,
176695,14.00,USD,1,0,
176696,10.00,USD,1,0,
176697,20.00,USD,1,0,
176698,18.00,USD,1,0,
176699,26.00,USD,1,0,
176700,29.00,USD,1,0,
176701,31.00,USD,1,0,
176702,12.00,USD,1,0,
176703,16.00,USD,1,0,
176704,18.00,USD,1,0,
176705,13.00,USD,1,0,
176706,12.00,USD,1,0,
176707,13.00,USD,1,0,
176708,9.00,USD,1,0,
176709,10.00,USD,1,0,
176710,12.00,USD,1,0,
176711,20.00,USD,1,0,
176712,16.00,USD,1,0,
176713,12.00,USD,1,0,
176714,9.00,USD,1,0,
176715,18.00,USD,1,0,
176716,9.00,USD,1,0,
176717,18.00,USD,1,0,
176718,19.00,USD,1,0,
176719,7.50,USD,1,0,
176720,7.00,USD,1,0,
176721,13.00,USD,1,0,
176722,17.00,USD,1,0,
176723,9.00,USD,1,0,
176724,9.00,USD,1,0,
176725,7.50,USD,1,0,
176726,9.00,USD,1,0,
176727,12.00,USD,1,0,
176728,15.00,USD,1,0,
176729,16.00,USD,1,0,
176730,10.00,USD,1,0,
176731,12.00,USD,1,0,
176732,10.00,USD,1,0,
176733,18.00,USD,1,0,
176734,16.00,USD,1,0,
176735,15.00,USD,1,0,
176736,19.00,USD,1,0,
176737,7.50,USD,1,0,
176738,9.00,USD,1,0,
176739,12.00,USD,1,0,
176740,15.00,USD,1,0,
176741,18.00,USD,1,0,
176742,19.00,USD,1,0,
176743,10.00,USD,1,0,
176744,10.00,USD,1,0,
176745,13.00,USD,1,0,
176746,8.50,USD,1,0,
176747,19.00,USD,1,0,
176748,6.00,USD,1,0,
176749,19.00,USD,1,0,
176750,14.00,USD,1,0,
176751,16.00,USD,1,0,
176752,16.00,USD,1,0,
176753,31.00,USD,1,0,
176754,20.00,USD,1,0,
176755,19.00,USD,1,0,
176756,11.00,USD,1,0,
176757,11.00,USD,1,0,
176758,17.00,USD,1,0,
176759,17.00,USD,1,0,
