fare_id,route_id, origin_id, destination_id, contains_id
176628,,55445,55440,
176629,,55435,55440,
176630,,55441,55440,
176631,,55445,55439,
176632,,55435,55439,
176633,,55441,55439,
176634,,55445,55438,
176635,,55435,55438,
176636,,55441,55438,
176637,,55445,55443,
176638,,55445,55437,
176639,,55435,55443,
176640,,55441,55443,
176641,,55445,55442,
176642,,55435,55442,
176643,,55434,55445,
176644,,55440,55445,
176645,,55439,55445,
176646,,55434,55435,
176647,,55440,55435,
176648,,55435,55437,
176649,,55439,55435,
176650,,55438,55435,
176651,,55443,55435,
176652,,55442,55435,
176653,,55445,55435,
176654,,55439,55441,
176655,,55438,55441,
176656,,55443,55441,
176657,,55435,55436,
176658,,55434,55437,
176659,,55440,55437,
176660,,55439,55437,
176661,,55438,55437,
176662,,55440,55434,
176663,,55439,55434,
176664,,55443,55434,
176665,,55440,55439,
176666,,55436,55439,
176667,,55437,55438,
176668,,55434,55438,
176669,,55440,55438,
176670,,55436,55438,
176671,,55436,55443,
176672,,55437,55442,
176673,,55434,55442,
176674,,55440,55442,
176675,,55440,55436,
176676,,55443,55439,
176677,,55442,55439,
176678,,55439,55438,
176679,,55442,55438,
176680,,55438,55443,
176681,,55439,55442,
176682,,55438,55442,
176683,,55444,55443,
176684,,55439,55444,
176685,,55445,55444,
176686,,55444,55441,
176687,,55444,55436,
176688,,55442,55444,
176689,,55444,55442,
176690,,55435,55444,
176691,,55444,55435,
176692,,55442,55443,
176693,,55441,55437,
176694,,55445,55434,
176695,,55435,55434,
176696,,55441,55434,
176697,,55441,55442,
176698,,55437,55445,
176699,,55438,55445,
176700,,55443,55445,
176701,,55442,55445,
176702,,55435,55445,
176703,,55441,55445,
176704,,55436,55445,
176705,,55437,55435,
176706,,55441,55435,
176707,,55436,55435,
176708,,55437,55441,
176709,,55434,55441,
176710,,55440,55441,
176711,,55442,55441,
176712,,55445,55441,
176713,,55435,55441,
176714,,55436,55441,
176715,,55445,55436,
176716,,55441,55436,
176717,,55443,55437,
176718,,55442,55437,
176719,,55436,55437,
176720,,55437,55434,
176721,,55438,55434,
176722,,55442,55434,
176723,,55436,55434,
176724,,55437,55440,
176725,,55434,55440,
176726,,55439,55440,
176727,,55438,55440,
176728,,55443,55440,
176729,,55442,55440,
176730,,55436,55440,
176731,,55437,55439,
176732,,55434,55439,
176733,,55437,55443,
176734,,55434,55443,
176735,,55440,55443,
176736,,55436,55442,
176737,,55437,55436,
176738,,55434,55436,
176739,,55439,55436,
176740,,55438,55436,
176741,,55443,55436,
176742,,55442,55436,
176743,,55438,55439,
176744,,55443,55438,
176745,,55439,55443,
176746,,55443,55442,
176747,,55444,55437,
176748,,55443,55444,
176749,,55437,55444,
176750,,55444,55439,
176751,,55440,55444,
176752,,55444,55440,
176753,,55444,55445,
176754,,55441,55444,
176755,,55436,55444,
176756,,55438,55444,
176757,,55444,55438,
176758,,55434,55444,
176759,,55444,55434,
