trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD5982640,05:09:00,05:09:00,1129131,1
RTD5982640,05:29:00,05:29:00,1129122,2
RTD5982640,05:55:00,05:55:00,1129128,3
RTD5982640,06:03:00,06:03:00,1129123,4
RTD5982640,06:10:00,06:10:00,1129124,5
RTD5982640,06:23:00,06:23:00,1129121,6
RTD5982640,06:32:00,06:32:00,1129127,7
RTD5982640,06:43:00,06:43:00,1129126,8
RTD5982640,06:59:00,06:59:00,1129125,9
RTD5982640,07:16:00,07:16:00,1129130,10
RTD5982640,07:24:00,07:24:00,12046652,11
RTD5982640,07:38:00,07:38:00,1129129,12
RTD5982641,06:09:00,06:09:00,1129131,1
RTD5982641,06:29:00,06:29:00,1129122,2
RTD5982641,06:55:00,06:55:00,1129128,3
RTD5982641,07:03:00,07:03:00,1129123,4
RTD5982641,07:10:00,07:10:00,1129124,5
RTD5982641,07:23:00,07:23:00,1129121,6
RTD5982641,07:32:00,07:32:00,1129127,7
RTD5982641,07:43:00,07:43:00,1129126,8
RTD5982641,07:59:00,07:59:00,1129125,9
RTD5982641,08:16:00,08:16:00,1129130,10
RTD5982641,08:24:00,08:24:00,12046652,11
RTD5982641,08:38:00,08:38:00,1129129,12
RTD6253554,06:29:00,06:29:00,1129131,1
RTD6253554,06:50:00,06:50:00,1129122,2
RTD6253554,07:15:00,07:15:00,1129128,3
RTD6253554,07:22:00,07:22:00,1129123,4
RTD6253554,07:30:00,07:30:00,1129124,5
RTD6253554,07:43:00,07:43:00,1129121,6
RTD6253554,07:52:00,07:52:00,1129127,7
RTD6253554,08:03:00,08:03:00,1129126,8
RTD6253554,08:19:00,08:19:00,1129125,9
RTD6253554,08:36:00,08:36:00,1129130,10
RTD6253554,08:44:00,08:44:00,12046652,11
RTD6253554,08:58:00,08:58:00,1129129,12
RTD8703586,06:29:00,06:29:00,1129131,1
RTD8703586,06:49:00,06:49:00,1129122,2
RTD8703586,07:15:00,07:15:00,1129128,3
RTD8703586,07:23:00,07:23:00,1129123,4
RTD8703586,07:30:00,07:30:00,1129124,5
RTD8703586,07:43:00,07:43:00,1129121,6
