stop_id,stop_name,stop_lat,stop_lon,zone_id
1129121,AMTRAK JACK LONDON SQUARE,37.7935195578,-122.2719857651,55434
1129122,AMTRAK MARTINEZ,38.01951,-122.137097,55435
1129123,BERKELEY AMTRAK,37.867277,-122.300943,55436
1129124,EMERYVILLE AMTRAK,37.840547,-122.2913,55437
1129125,FREMONT AMTRAK,37.558224,-122.006762,55438
1129126,HAYWARD AMTRAK,37.666712,-122.098546,55439
1129127,OAKLAND COLISEUM,37.7534467879,-122.1974858222,55440
1129128,RICHMOND AMTRAK,37.9356889558,-122.3523063133,55441
1129129,SAN JOSE AMTRAK,37.329662,-121.901897,55442
1129130,SANTA CLARA GREAT AMERICA AMTRAK,37.406473,-121.966482,55443
12046652,SANTA CLARA UNIVERSITY AMTRAK,37.35304,-121.9362,55444
1129131,SUISUN-FAIRFIELD AMTRAK,38.243909,-122.040419,55445
